fmin,alg,runtime,niterations,converged,startguess
147.54396517092286,Optim_IPNewton,3.0773839950561523,51,true,87
214.05783433237517,Optim_IPNewton,3.2509570121765137,34,true,88
147.54396517102438,Optim_IPNewton,22.31736993789673,80,true,89
149.5188386839311,Optim_IPNewton,24.01243281364441,56,true,90
138.22285768665242,Optim_IPNewton,3.2912349700927734,39,true,91
145.76408553239477,Optim_IPNewton,2.4851200580596924,58,true,92
145.75941183916098,Optim_IPNewton,3.5759429931640625,61,true,93
147.54396570435838,Optim_IPNewton,2.7440199851989746,39,true,94
138.22197600402953,Optim_IPNewton,4.998754024505615,71,true,95
138.22563106542535,Optim_IPNewton,3.785756826400757,55,true,96
138.22197600389697,Optim_IPNewton,5.690351963043213,59,true,97
147.54396517555122,Optim_IPNewton,8.05485200881958,64,true,98
